figure,panel,suite,method,metric,unit,estimand,mean,ci95_low,ci95_high,n_blocks,n_evaluable_scenarios
4,c,ablation,SASP-NoVirtualQueue,deadline_expiration_class0,pp,ablation_minus_SASP,-0.07181566456076457,-0.16106715000252803,0.017435820880998876,5,120
4,c,ablation,SASP-NoCriticalCoverage,deadline_expiration_class0,pp,ablation_minus_SASP,-0.046620860800913634,-0.09343276544719184,0.00019104384536457186,5,120
4,c,ablation,SASP-GreedyAssignment,deadline_expiration_class0,pp,ablation_minus_SASP,0.34229399727381704,0.23291886143978036,0.4516691331078537,5,120
5,a,scale12,MaxRateMatching,cohort_goodput_mbps,Mbps,mean,1.9551805555555557,1.9352167658327504,1.975144345278361,5,120
5,a,scale16,MaxRateMatching,cohort_goodput_mbps,Mbps,mean,2.6329907407407407,2.595301229077598,2.6706802524038835,5,120
5,a,scale24,MaxRateMatching,cohort_goodput_mbps,Mbps,mean,3.6929351851851857,3.6458941572043853,3.739976213165986,5,120
5,a,scale32,MaxRateMatching,cohort_goodput_mbps,Mbps,mean,4.621986111111111,4.5815918734545935,4.662380348767629,5,120
5,a,scale12,MaxWeight,cohort_goodput_mbps,Mbps,mean,1.9286712962962962,1.9083251362264668,1.9490174563661256,5,120
5,a,scale16,MaxWeight,cohort_goodput_mbps,Mbps,mean,2.6163935185185183,2.5778566055573533,2.6549304314796833,5,120
5,a,scale24,MaxWeight,cohort_goodput_mbps,Mbps,mean,3.68325462962963,3.6354541771039393,3.731055082155321,5,120
5,a,scale32,MaxWeight,cohort_goodput_mbps,Mbps,mean,4.654842592592592,4.623746520693938,4.685938664491246,5,120
5,a,scale12,WeightedMaxWeight,cohort_goodput_mbps,Mbps,mean,1.9606805555555558,1.935057137719462,1.9863039733916494,5,120
5,a,scale16,WeightedMaxWeight,cohort_goodput_mbps,Mbps,mean,2.6601203703703704,2.6229536351633946,2.697287105577346,5,120
5,a,scale24,WeightedMaxWeight,cohort_goodput_mbps,Mbps,mean,3.7525925925925927,3.710725631484763,3.794459553700422,5,120
5,a,scale32,WeightedMaxWeight,cohort_goodput_mbps,Mbps,mean,4.748305555555556,4.7167214927881576,4.779889618322954,5,120
5,a,scale12,EDF,cohort_goodput_mbps,Mbps,mean,2.0495416666666664,2.024110895092446,2.074972438240887,5,120
5,a,scale16,EDF,cohort_goodput_mbps,Mbps,mean,2.7426759259259255,2.7086589346569276,2.7766929171949233,5,120
5,a,scale24,EDF,cohort_goodput_mbps,Mbps,mean,4.00012037037037,3.9215393047117373,4.078701436029003,5,120
5,a,scale32,EDF,cohort_goodput_mbps,Mbps,mean,5.232416666666667,5.194822463027437,5.270010870305898,5,120
5,a,scale12,LyapunovDPP-Energy,cohort_goodput_mbps,Mbps,mean,1.9133287037037037,1.8933340368309968,1.9333233705764106,5,120
5,a,scale16,LyapunovDPP-Energy,cohort_goodput_mbps,Mbps,mean,2.5964583333333335,2.55404393263061,2.638872734036057,5,120
5,a,scale24,LyapunovDPP-Energy,cohort_goodput_mbps,Mbps,mean,3.652111111111111,3.6075192721287825,3.6967029500934396,5,120
5,a,scale32,LyapunovDPP-Energy,cohort_goodput_mbps,Mbps,mean,4.607231481481481,4.58537223635999,4.629090726602972,5,120
5,a,scale12,SASP,cohort_goodput_mbps,Mbps,mean,2.0935694444444444,2.0594461473483805,2.1276927415405082,5,120
5,a,scale16,SASP,cohort_goodput_mbps,Mbps,mean,2.7967037037037032,2.7532061387414766,2.84020126866593,5,120
5,a,scale24,SASP,cohort_goodput_mbps,Mbps,mean,4.149634259259259,4.068861472140434,4.230407046378084,5,120
5,a,scale32,SASP,cohort_goodput_mbps,Mbps,mean,5.405722222222222,5.358752491259476,5.452691953184968,5,120
5,b,scale12,MaxRateMatching,queue_overflow_packet_probability,%,mean,3.7531756628528,3.0942697441788347,4.412081581526765,5,120
5,b,scale16,MaxRateMatching,queue_overflow_packet_probability,%,mean,3.1823980618860994,2.722032227870332,3.642763895901867,5,120
5,b,scale24,MaxRateMatching,queue_overflow_packet_probability,%,mean,6.193060611146451,5.660354658215887,6.725766564077015,5,120
5,b,scale32,MaxRateMatching,queue_overflow_packet_probability,%,mean,7.966675131549387,7.55005917997656,8.383291083122215,5,120
5,b,scale12,MaxWeight,queue_overflow_packet_probability,%,mean,3.324094589912228,3.1338411518594493,3.514348027965007,5,120
5,b,scale16,MaxWeight,queue_overflow_packet_probability,%,mean,2.4706656483545,1.9450787671145422,2.996252529594458,5,120
5,b,scale24,MaxWeight,queue_overflow_packet_probability,%,mean,4.576766912591102,4.006791501889685,5.14674232329252,5,120
